,x,y,c
0,11.780402,0.30550674,#92374D
1,11.790611,0.2175388,#92374D
2,11.476818,0.8264048,#92374D
3,11.4597435,0.83203864,#92374D
4,11.366939,0.5733911,#92374D
5,11.368819,0.5650034,#92374D
6,12.106002,0.22483598,#92374D
7,12.110821,0.18264629,#92374D
8,11.373539,0.49175763,#92374D
9,11.853401,0.31111866,#92374D
10,11.852097,0.3205353,#92374D
11,11.873666,0.3851132,#92374D
12,12.369101,-0.0443065,#92374D
13,12.404865,-0.075049326,#92374D
14,12.386661,-0.06953839,#92374D
15,12.151732,0.0801267,#92374D
16,12.205524,0.019007685,#92374D
17,11.4425125,0.6266806,#92374D
18,11.444647,0.64470404,#92374D
19,11.318271,0.64088064,#92374D
20,11.832142,0.27960163,#92374D
21,11.837142,0.2967724,#92374D
22,11.864363,0.41558552,#92374D
23,11.650937,0.55701065,#92374D
24,11.978494,0.19821535,#92374D
25,12.008152,0.19011568,#92374D
26,12.156281,0.26987064,#92374D
27,12.19229,0.15812397,#92374D
28,11.439939,0.63320386,#92374D
29,11.623525,0.547517,#92374D
30,11.530119,0.59463996,#92374D
31,12.273178,0.20717193,#92374D
32,12.298199,0.13727936,#92374D
33,11.804465,0.34091082,#92374D
34,11.363316,0.651838,#92374D
35,11.640849,0.47072822,#92374D
36,12.218495,0.17372037,#92374D
37,12.151124,0.23730242,#92374D
38,12.197971,0.17538798,#92374D
39,11.650814,0.21359809,#92374D
40,11.637089,0.23923534,#92374D
41,11.6040325,0.18366867,#92374D
42,11.641409,0.23311795,#92374D
43,12.218219,0.030968467,#92374D
44,12.199571,0.029252915,#92374D
45,11.260654,0.50322556,#92374D
46,11.734416,0.5224872,#92374D
47,11.893257,0.35715568,#92374D
48,12.355693,0.2016595,#92374D
49,11.363772,0.7243895,#92374D
50,11.305401,0.77963006,#92374D
51,11.651484,0.5377671,#92374D
52,11.999296,0.28865793,#92374D
53,11.996207,0.30375114,#92374D
54,12.495071,0.11695449,#92374D
55,12.459126,0.17112203,#92374D
56,11.782321,0.48255208,#92374D
57,11.518129,0.84762293,#92374D
58,11.526692,0.85814494,#92374D
59,12.339313,-0.17537566,#92374D
60,12.290975,-0.084978215,#92374D
